priority,offset_s,latency_ms,status,outcome
medium,0.0508,230.61,200,ok
medium,0.1169,164.50,200,ok
medium,0.0170,265.25,200,ok
medium,0.1837,102.02,200,ok
medium,0.2170,75.46,200,ok
medium,0.2509,45.63,200,ok
medium,0.0837,218.29,200,ok
medium,0.1510,153.77,200,ok
medium,0.2844,24.75,200,ok
medium,0.3182,25.42,200,ok
medium,0.3513,58.49,200,ok
medium,0.4177,65.53,200,ok
medium,0.3837,118.84,200,ok
medium,0.4845,22.56,200,ok
medium,0.5174,29.21,200,ok
medium,0.4507,115.08,200,ok
medium,0.5845,101.17,200,ok
medium,0.6170,184.39,200,ok
medium,0.5513,338.00,200,ok
medium,0.7182,222.55,200,ok
medium,0.7528,308.17,200,ok
medium,0.8836,218.90,200,ok
medium,0.8511,290.41,200,ok
medium,0.7835,374.20,200,ok
medium,1.0179,163.19,200,ok
medium,0.6835,604.01,200,ok
medium,0.9839,306.51,200,ok
medium,1.1528,146.07,200,ok
medium,1.0837,234.55,200,ok
medium,1.1175,244.53,200,ok
medium,0.8172,560.53,200,ok
medium,1.0536,344.17,200,ok
medium,0.6509,755.98,200,ok
medium,1.1838,256.29,200,ok
medium,0.9520,503.95,200,ok
medium,0.9170,564.31,200,ok
medium,1.2843,238.50,200,ok
medium,1.2511,307.88,200,ok
medium,1.4518,277.62,200,ok
medium,1.2170,572.95,200,ok
medium,1.3178,587.07,200,ok
medium,1.3511,699.15,200,ok
medium,1.4175,725.44,200,ok
medium,1.5240,819.83,200,ok
medium,1.6183,737.83,200,ok
medium,1.3836,1002.30,200,ok
medium,1.7179,826.85,200,ok
medium,1.5853,1024.83,200,ok
medium,1.6835,946.40,200,ok
medium,2.1838,484.98,200,ok
medium,1.7519,928.84,200,ok
medium,1.4678,1242.42,200,ok
medium,0.5011,2211.13,200,ok
medium,0.0670,2648.61,200,ok
medium,0.6669,2050.31,200,ok
medium,1.7019,1018.58,200,ok
medium,0.7673,1954.57,200,ok
medium,1.5571,1184.64,200,ok
medium,1.5670,1195.88,200,ok
medium,1.4846,1279.37,200,ok
medium,2.1169,678.76,200,ok
medium,2.2171,585.71,200,ok
high,2.1006,722.64,429,shed
medium,2.3851,441.53,200,ok
medium,0.4008,2439.13,200,ok
medium,1.4019,1439.26,200,ok
medium,0.0020,2855.96,200,ok
medium,0.2008,2657.31,200,ok
medium,0.4670,2391.34,200,ok
medium,1.5348,1326.96,200,ok
medium,1.8170,1054.99,200,ok
medium,2.3521,529.44,200,ok
medium,1.7840,1113.85,200,ok
medium,2.1520,767.31,200,ok
medium,0.2344,2684.94,200,ok
medium,2.5174,410.20,200,ok
medium,2.5518,380.20,200,ok
medium,0.1677,2765.03,200,ok
medium,0.8338,2098.98,200,ok
medium,1.9172,1021.38,200,ok
medium,1.9517,1067.31,200,ok
medium,2.6518,402.45,429,shed
medium,1.6511,1418.71,200,ok
medium,1.9853,1143.65,200,ok
medium,2.1014,1038.92,200,ok
medium,0.6336,2509.09,200,ok
medium,1.2012,1956.31,200,ok
medium,1.6783,1480.92,200,ok
medium,0.9335,2225.81,200,ok
medium,1.1344,2024.90,200,ok
medium,1.9030,1256.32,200,ok
medium,0.5669,2607.90,200,ok
medium,0.0342,3140.98,200,ok
medium,1.1676,2007.87,200,ok
medium,0.3671,2808.70,200,ok
medium,1.0532,2122.86,200,ok
medium,0.9673,2208.97,200,ok
medium,1.3017,1874.81,200,ok
medium,1.3670,1809.78,200,ok
medium,0.3007,2876.35,200,ok
medium,0.4345,2742.84,200,ok
medium,0.7020,2475.63,200,ok
medium,0.1010,3076.82,200,ok
medium,0.3341,2844.00,200,ok
medium,0.8018,2376.58,200,ok
medium,1.5041,1674.53,200,ok
medium,2.2840,908.06,200,ok
high,0.8014,2391.64,200,ok
high,0.4503,2742.80,200,ok
medium,2.4173,775.74,200,ok
medium,2.0345,1163.00,200,ok
medium,2.3672,865.71,200,ok
medium,1.6008,1632.13,200,ok
medium,1.9674,1265.63,200,ok
medium,1.7342,1498.76,200,ok
low,2.8405,392.53,429,shed
high,2.2506,982.48,200,ok
high,1.1007,2132.33,200,ok
high,1.0541,2179.00,200,ok
medium,1.2340,1999.08,200,ok
medium,1.4340,1799.10,200,ok
medium,1.3341,1898.99,200,ok
medium,0.8669,2366.16,200,ok
medium,0.2672,2965.90,200,ok
medium,2.7173,518.11,200,ok
medium,1.2677,1967.71,200,ok
medium,0.7335,2501.88,200,ok
medium,0.9048,2330.62,200,ok
medium,2.3173,918.18,200,ok
low,2.7809,469.25,429,shed
medium,1.0674,2182.72,200,ok
medium,3.0515,198.70,429,shed
medium,1.6357,1614.49,200,ok
medium,3.1179,132.33,429,shed
medium,1.9340,1316.29,200,ok
medium,1.1013,2148.96,200,ok
high,2.2009,1049.39,200,ok
medium,1.0012,2249.13,200,ok
high,0.7523,2498.05,200,ok
medium,0.6016,2648.76,200,ok
high,0.4004,2849.99,200,ok
medium,0.1341,3116.27,200,ok
medium,2.2027,1047.75,200,ok
medium,2.4515,798.92,200,ok
high,1.5034,1747.01,200,ok
high,0.3004,2950.05,200,ok
high,2.3008,949.70,200,ok
high,0.9043,2346.21,200,ok
medium,0.5344,2716.15,200,ok
high,1.5563,1694.26,200,ok
medium,1.8018,1448.77,200,ok
high,0.5508,2699.72,200,ok
high,1.1523,2098.31,200,ok
medium,1.8335,1417.07,200,ok
high,0.0505,3200.89,200,ok
high,0.2505,3000.87,200,ok
medium,2.1337,1117.64,200,ok
medium,2.2514,1010.78,200,ok
medium,2.4844,777.86,200,ok
high,0.1507,3111.62,200,ok
high,1.9509,1311.39,200,ok
high,1.2005,2061.77,200,ok
high,1.8521,1410.28,200,ok
high,0.5007,2761.62,200,ok
high,0.7015,2560.88,200,ok
high,0.3509,2911.52,200,ok
high,0.2005,3061.94,200,ok
high,0.0001,3266.88,200,ok
